Nama Kampus,Sinta score
Universitas KH. A. Wahab Hasbullah,19.506
Universitas Almuslim,19.423
Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya,19.420
Sekolah Tinggi Ilmu Ekonomi Sultan Agung,19.392
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,19.390
Universitas Islam Negeri Siber Syekh Nurjati Cirebon,19.170
Universitas Muhammadiyah Lamongan,19.149
Institut Teknologi dan Bisnis Widya Gama Lumajang,19.126
Universitas Al Asyariah Mandar,18.995
Universitas Methodist Indonesia,18.979
Universitas Abdurrab,18.957
Politeknik Negeri Lampung,18.798
Institut Seni Indonesia Padang Panjang,18.525
Universitas Serang Raya,18.356
Institut Teknologi dan Sains Mandala,18.218
Universitas Dinamika,18.139
Universitas Wijaya Kusuma Purwokerto,18.071
Universitas Ma Chung,17.861
Universitas Bali Internasional,17.706
Institut Informatika Dan Bisnis Darmajaya,17.694
Universitas Muhammadiyah Maluku Utara,17.678
Universitas Dayanu Ikhsanuddin,17.663
Poltekkes Kemenkes Aceh,17.523
Universitas Dirgantara Marsekal Suryadarma,17.522
Universitas Islam Lamongan,17.449
Universitas Darma Persada,17.407
Universitas Sampoerna,17.287
Universitas Katolik Musi Charitas,17.272
Universitas Pendidikan Muhammadiyah Sorong,17.264
Politeknik Caltex,17.170
Institut Agama Islam Negeri Lhokseumawe,17.124
Institut Teknologi Indonesia,17.085
Universitas Islam Negeri Imam Bonjol Padang,17.014
Sekolah Tinggi Ilmu Kesehatan Baiturrahim,16.916
Universitas Internasional Semen Indonesia,16.823
Universitas Sangga Buana,16.689
Sekolah Tinggi Ilmu Kesehatan Nasional,16.670
Universitas Bojonegoro,16.639
STIKES Wira Medika Bali,16.582
Universitas Indonesia Timur,16.564
Universitas Iqra Buru,16.484
INSTITUT KESEHATAN HELVETIA,16.437
Universitas Widya Dharma,16.375
Universitas PGRI Ronggolawe,16.242
Institut Transportasi  dan Logistik Trisakti,16.195
IAIN Palangkaraya,16.145
Universitas Putra Bangsa,16.137
Universitas Muhammadiyah Bangka Belitung,16.117
Universitas Ngurah Rai,16.110
STIKES Wijaya Husada Bogor,16.095
Institut Kesehatan Medistra Lubuk Pakam,15.929
Universitas Dr Soetomo,15.927
Politeknik Piksi Ganesha,15.921
Universitas Baiturrahmah,15.867
Universitas Sains dan Teknologi Komputer,15.810
Sekolah Tinggi Ilmu Kesehatan Abdi Nusantara,15.776
Universitas Muhammadiyah Buton,15.718
Universitas Quality Berastagi,15.663
Universitas PGRI Banyuwangi,15.629
Institut Agama Islam Negeri Metro,15.499
Universitas Katolik Darma Cendika,15.429
Politeknik Negeri Madiun,15.384
Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,15.356
Institut Agama Islam Negeri Kudus,15.309
Universitas Tunas Pembangunan Surakarta (UTP),15.264
Universitas Muhammadiyah Purworejo,15.191
Universitas Wiralodra,15.159
Universitas Islam Negeri Kiai Haji Achmad Siddiq Jember,14.963
Universitas Fajar,14.947
Politeknik Negeri Indramayu,14.894
Sekolah Tinggi Ilmu Ekonomi Pariwisata Indonesia,14.885
Universitas Islam Makassar,14.860
Universitas Krisnadwipayana,14.808
Universitas Muhammadiyah Aceh,14.773
Institut Agama Islam Negeri Ponorogo,14.753
Institut Agama Islam Negeri Madura,14.705
Universitas Cokroaminoto Palopo,14.677
Universitas Cokroaminoto Palopo,14.687
Universitas Islam Darul `ulum,14.669
Universitas Kristen Indonesia Maluku,14.597
Universitas Tamansiswa Padang,14.541
Universitas Muhammadiyah Bima,14.493
Politeknik Pertanian Negeri Kupang,14.472
Universitas Catur Insan Cendekia,14.416
Politeknik Pertanian Negeri Pangkajene Kepulauan,14.397
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Pasundan,14.332
Poltekkes Kemenkes Palembang,14.311
Institut Teknologi Del,14.247
Universitas Kristen Artha Wacana,14.243
Sekolah Tinggi Pembangunan Masyarakat Desa APMD,14.235
Politeknik Perkapalan Negeri Surabaya,14.198
Politeknik Negeri Manado,14.186
Universitas Graha Nusantara Padangsidimpuan,14.125
Politeknik Kesehatan Kementerian Kesehatan Bengkulu,14.063
Universitas Nahdlatul Ulama Nusa Tenggara Barat,13.888
Universitas Madura,13.876
Sekolah Tinggi Ilmu Kesehatan Husada Jombang,13.870
Universitas Gresik,13.862
Universitas PGRI Jombang,13.845
Universitas Muhammadiyah Enrekang,13.833
IAIN Palopo,13.731
Universitas Potensi Utama,13.562
Universitas Ibnu Sina,13.396
Universitas Sang Bumi Ruwa Jurai,13.395
Sekolah Tinggi Ilmu Ekonomi Ekuitas,13.350
